state,Region,States
AL,Southeast, Alabama
AK,Pacific West: , Alaska
AZ,Pacific West: , Arizona
AR,Southeast, Arkansas
CA,Pacific West: , California
CO,Plains Region, Colorado
CT,Northeast, Connecticut
DE,Northeast, Delaware
DC,Northeast, District of Columbia
FL,Southeast, Florida
GA,Southeast, Georgia
HI,Pacific West: , Hawaii
ID,Pacific West: , Idaho
IL,Midwest, Illinois
IN,Midwest, Indiana
IA,Midwest, Iowa
KS,Plains Region, Kansas
KY,Midwest, Kentucky
LA,Southeast, Louisiana
ME,Northeast, Maine
MD,Northeast, Maryland
MA,Northeast, Massachusetts
MI,Midwest, Michigan
MN,Midwest, Minnesota
MS,Southeast, Mississippi
MO,Midwest, Missouri
MT,Plains Region, Montana
NE,Plains Region, Nebraska
NV,Pacific West: , Nevada
NH,Northeast, New Hampshire
NJ,Northeast, New Jersey
NM,Plains Region, New Mexico
NY,Northeast, New York
NC,Southeast, North Carolina
ND,Plains Region, North Dakota
OH,Midwest, Ohio
OK,Plains Region, Oklahoma
OR,Pacific West: , Oregon
PA,Northeast, Pennsylvania
RI,Northeast, Rhode Island
SC,Southeast, South Carolina
SD,Plains Region, South Dakota
TN,Southeast, Tennessee
TX,Plains Region, Texas
UT,Pacific West: , Utah
VT,Northeast, Vermont
VA,Northeast, Virginia
WA,Pacific West: , Washington
WV,Northeast, West Virginia
WI,Midwest, Wisconsin
WY,Plains Region, Wyoming
