specialty,claim_count,opioid_count,opioid_amount
Pain Management,13759671,7833359,0.569298423
Interventional Pain Management,16988702,9614500,0.565934937
Hand Surgery,835455,462414,0.553487621
Anesthesiology,19937443,10705790,0.536969059
Orthopedic Surgery,28585000,13181847,0.461145601
"Day Training, Developmentally Disabled Services",96,44,0.458333333
Physical Medicine and Rehabilitation,28489929,11927966,0.418673069
Neurosurgery,3773174,1537677,0.407528781
"Nursing Facility, Other (Dmercs Only)",907,338,0.372657111
Certified Registered Nurse Anesthetist (CRNA),47901,16448,0.343374877
Maxillofacial Surgery,1223088,407295,0.333005475
Oral Surgery (dentists only),3315978,1103778,0.332866503
"Assistant, Podiatric",562,183,0.325622776
Oral & Maxillofacial Surgery,233852,75585,0.323217249
Oral Surgery (Dentists only),1273556,397695,0.31227131
Orthopaedic Surgery,615166,185891,0.302180225
Plastic and Reconstructive Surgery,2059312,601945,0.292303935
CRNA,149467,41235,0.275880295
Denturist,2008,516,0.256972112
Sports Medicine,813385,208687,0.256566079
Physical Therapist in Private Practice,3076,781,0.25390117
Surgical Oncology,323210,80383,0.248702082
Psychiatric Residential Treatment Facility,281,69,0.245551601
Neurological Surgery,132757,29603,0.222986359
"Neuromusculoskeletal Medicine, Sports Medicine",73433,13950,0.189969087
Vascular Surgery,2666383,503686,0.188902344
General Surgery,20328653,3809644,0.187402677
Colon & Rectal Surgery,15313,2862,0.18690002
Surgery,65680,11276,0.171680877
Physical Therapist,52119,8886,0.170494445
Plastic Surgery,196444,33416,0.170104457
Colorectal Surgery (formerly proctology),849151,144412,0.170066337
Thoracic Surgery,1371849,218856,0.159533593
Radiation Oncology,2315898,360847,0.155812993
Hospice and Palliative Care,1499103,226561,0.151131043
Colorectal Surgery (Proctology),311421,46125,0.148111399
Addiction Medicine,674115,98965,0.146807295
"Emergency Medical Technician, Intermediate",1123,164,0.1460374
Gynecological/Oncology,715472,103431,0.144563309
Gynecological Oncology,233913,33800,0.144498168
Slide Preparation Facility,2480,357,0.143951613
Emergency Medicine,69058568,9807016,0.142010127
Physical Medicine & Rehabilitation,6461,903,0.139761647
Dentist,33942939,4465046,0.131545651
Interventional Radiology,431183,54317,0.125972035
Rheumatology,47656107,5615656,0.11783707
Medical Oncology,8464537,989421,0.11689015
Hematology/Oncology,21110961,2447128,0.115917414
Phlebology,5679,623,0.109702412
Hematology-Oncology,7556487,809114,0.107075417
Hematology,1658658,176786,0.106583756
Rehabilitation Practitioner,11142,1165,0.104559325
Nursing Care,347,36,0.103746398
Point of Service,7845,783,0.099808795
Podiatry,15110695,1469586,0.097254693
Chiropractic,102247,9650,0.094379297
Ambulatory Surgical Center,4422,400,0.090456807
Ambulance Service Supplier,540,48,0.088888889
Physician Assistant,223280235,19630966,0.087920751
Preventive Medicine,1820336,156721,0.086094545
Cardiac Surgery,1769412,151136,0.085415946
Dental Hygienist,2364,198,0.083756345
Osteopathic Manipulative Medicine,3515051,285252,0.081151596
Military Hospital,1651,124,0.075105996
Clinic or Group Practice,94798,6962,0.073440368
Developmental Therapist,1033,75,0.072604066
Personal Emergency Response Attendant,124353,8752,0.070380288
Chore Provider,2780,193,0.06942446
Religious Nonmedical Nursing Personnel,4373,287,0.065630002
Military Health Care Provider,8850,574,0.064858757
Diagnostic Radiology,1724138,108266,0.062794277
"Spec/Tech, Cardiovascular",437,27,0.061784897
Nurse Practitioner,431685240,26650801,0.061736651
Thoracic Surgery (Cardiothoracic Vascular Surgery),74228,4560,0.061432344
Specialist,3471538,211921,0.061045277
Technician/Technologist,1428,85,0.05952381
"Emergency Medical Technician, Basic",6453,375,0.058112506
Durable Medical Equipment & Medical Supplies,1762,102,0.057888763
Dental Assistant,1408,81,0.057528409
Multispecialty Clinic/Group Practice,464686,26634,0.057316123
SNF (Dmercs Only),6919,381,0.055065761
Registered Nurse,1671414,90716,0.054275003
Family Practice,1635605246,83619084,0.051124245
Neurology,84518074,4150757,0.04911088
Unknown Supplier/Provider Specialty,3177,155,0.048788165
Student in an Organized Health Care Education/Training Program,22647571,1071748,0.047322867
Family Medicine,1881356,88090,0.046822611
Optician,1912,88,0.046025105
Chronic Disease Hospital,15567,703,0.045159633
"Respiratory Therapist, Registered",709,32,0.045133992
Case Manager/Care Coordinator,49515,2164,0.043703928
General Practice,132485523,5760470,0.043479996
Naturopath,265471,11536,0.043454841
Internal Medicine,1715687012,71777195,0.041835833
Geriatric Medicine,47620850,1982833,0.041637917
Pathology,525306,21691,0.041292123
Licensed Practical Nurse,147674,6072,0.041117597
Otolaryngology,18547344,748080,0.040333538
Rehabilitation Agency,70467,2835,0.040231598
Independent Medical Examiner,39073,1532,0.039208661
Pediatric Medicine,10940230,424421,0.038794523
"Genetic Counselor, MS",1442,54,0.037447989
Acupuncturist,39919,1488,0.037275483
Speech Language Pathologist,21349,780,0.036535669
Health Maintenance Organization,41174,1497,0.036357896
Legal Medicine,523118,18841,0.03601673
Pharmacist,2202021,79280,0.03600329
General Acute Care Hospital,247246,8692,0.03515527
Urology,53085278,1844296,0.034742137
Unknown Physician Specialty Code,442937,15193,0.034300589
Preferred Provider Organization,9098,312,0.034293251
Orthotic Fitter,323,11,0.034055728
Assisted Living Facility,1518,50,0.032938076
Hospitalist,805658,26169,0.032481524
Clinic/Center,786738,25140,0.03195473
Clinical Pharmacology,22539,711,0.031545321
Unknown Supplier/Provider,17355,495,0.02852204
Peripheral Vascular Disease,227110,6312,0.0277927
Infectious Disease,17970563,492963,0.027431695
"Spec/Tech, Pathology",989,27,0.027300303
Occupational therapist,18345,491,0.026764786
