Region,State,Male2013,Female2013,Total2013,Male2014,Female2014,Total2014,Male2015,Female2015,Total2015,Male2016,Female2016,Total2016,StateM2013,StateF2013,StateT2013,StateM2014,StateF2014,StateT2014,StateM2015,StateF2015,StateT2015,StateM2016,StateF2016,StateT2016
Southeast,Alabama,104,62,166,160,110,270,180,102,282,218,125,343,2262400,2443400,4705800,2270700,2443400,4714100,2276300,2453800,4730100,2277300,2452800,4730100
Pacific ,Alaska,48,21,69,45,31,76,54,32,86,64,30,94,361600,343500,705100,365500,341100,706600,363500,344000,707500,369900,345000,714900
Pacific ,Arizona,316,211,527,375,214,589,398,273,671,497,272,769,3182600,3283200,6465700,3213000,3343300,6556200,3260100,3395100,6655100,3328400,3432500,6760900
Southeast,Arkansas,85,77,162,97,76,173,111,92,203,91,78,169,1408900,1459700,2868600,1403300,1476700,2880000,1401000,1481300,2882300,1413400,1482000,2895400
Pacific ,California,1285,663,1948,1322,702,2024,1301,717,2018,1368,644,2012,18513000,18998300,37511300,18709600,19272000,37981600,18890300,19434900,38325100,18973300,19469100,38442400
Plains Region,Colorado,259,174,433,317,200,517,303,192,495,340,196,536,2557100,2573100,5130200,2596300,2620800,5217000,2649100,2666300,5315400,2691400,2706600,5398100
Northeast,Connecticut,305,134,439,357,168,525,499,186,685,626,229,855,1691500,1787500,3479000,1690800,1789600,3480400,1694300,1783800,3478100,1685000,1780100,3465100
Northeast,Delaware,78,35,113,84,40,124,87,46,133,105,49,154,433200,465300,898500,436500,468700,905300,439400,478900,918300,443500,480900,924300
Northeast,District of Columbia,44,16,60,45,18,63,72,26,98,155,54,209,285600,324700,610300,295300,328200,623500,301700,333100,634800,303500,340900,644400
Southeast,Florida,767,501,1268,865,534,1399,1190,648,1838,1934,864,2798,9260200,9833000,19093200,9419900,10011200,19431100,9581400,10231100,19812500,9762700,10381400,20144000
Southeast,Georgia,317,213,530,440,270,710,512,346,858,557,361,918,4680800,5010100,9690900,4715100,5077800,9792900,4772100,5137600,9909700,4809700,5191400,10001000
Pacific ,Hawaii,46,23,69,34,25,59,43,19,62,50,27,77,651600,679900,1331500,662100,686000,1348100,668000,694600,1362600,671300,693300,1364600
Pacific ,Idaho,38,39,77,30,48,78,48,42,90,81,38,119,788300,792500,1580900,793400,805400,1598800,804200,813000,1617200,818600,832100,1650700
Midwest,Illinois,770,302,1072,821,384,1205,942,439,1381,1405,542,1947,6150300,6420800,12571100,6132900,6436500,12569400,6112300,6437400,12549700,6099600,6391600,12491200
Midwest,Indiana,250,110,360,313,149,462,371,164,535,522,272,794,3114000,3252500,6366500,3127500,3259200,6386700,3141600,3273500,6415100,3151300,3280100,6431400
Midwest,Iowa,86,93,179,89,69,158,99,71,170,121,62,183,1477500,1512800,2990300,1491100,1511000,3002100,1495000,1524800,3019800,1499200,1531200,3030400
Plains Region,Kansas,86,72,158,99,74,173,77,73,150,82,64,146,1382100,1414500,2796500,1380100,1430600,2810700,1389600,1427000,2816600,1391200,1425800,2817000
Midwest,Kentucky,430,235,665,463,266,729,563,322,885,632,357,989,2083600,2177200,4260900,2093800,2175000,4268800,2093000,2190400,4283400,2091500,2196100,4287700
Southeast,Louisiana,178,87,265,185,75,260,185,102,287,220,126,346,2160000,2323200,4483200,2174300,2334200,4508500,2186700,2343600,4530300,2186300,2344200,4530500
Northeast,Maine,79,46,125,116,55,171,164,74,238,209,92,301,630500,661400,1291900,623900,670000,1293800,632100,660500,1292600,628700,665100,1293800
Northeast,Maryland,502,247,749,651,270,921,777,310,1087,1315,506,1821,2783500,2984100,5767500,2806100,3013200,5819300,2800600,3037700,5838300,2811700,3044800,5856500
Northeast,Massachusetts,616,272,888,817,323,1140,1164,386,1550,1451,539,1990,3122600,3328900,6451500,3154700,3351800,6506500,3180200,3375400,6555600,3190200,3380400,6570600
Midwest,Michigan,580,329,909,687,365,1052,861,448,1309,1191,571,1762,4722700,4941600,9664300,4733300,4949400,9682700,4743000,4950800,9693800,4743300,4950300,9693500
Midwest,Minnesota,198,107,305,202,116,318,210,128,338,275,121,396,2604800,2683100,5287800,2638000,2692400,5330400,2666300,2699300,5365600,2675000,2718000,5392900
Southeast,Mississippi,44,56,100,67,48,115,100,50,150,108,72,180,1387100,1502100,2889200,1389300,1497500,2886800,1380800,1508500,2889300,1374200,1513100,2887300
Midwest,Missouri,391,229,620,442,254,696,435,257,692,609,305,914,2852000,3001100,5853100,2857800,3012500,5870200,2873200,3017800,5890900,2887900,3010200,5898000
Plains Region,Montana,33,34,67,26,27,53,24,24,48,26,16,42,490300,496000,986300,493100,500600,993700,504900,501000,1005900,509400,505700,1015100
